marketplace,decision,reason,sku,asin,item-name,price,fba-units,status,fulfillment-channel,open-date
UK,DELETE,not in master list,AE_20_30,B0FRB7TFJR,,35.99,0,Inactive,AMAZON_EU,16/09/2025 21:11:09 BST
UK,DELETE,not in master list,AE_3_15,B0FRBBYBGH,,8.99,0,Inactive,AMAZON_EU,16/09/2025 21:11:09 BST
UK,DELETE,not in master list,AE_5_30,B0FRB89XHX,,11.99,0,Inactive,AMAZON_EU,16/09/2025 21:11:09 BST
UK,DELETE,not in master list,AF-29_5_30,B0FR3GK9Z7,,27.99,0,Inactive,AMAZON_EU,14/09/2025 13:12:07 BST
UK,DELETE,not in master list,AL_5_30,B0FR4ZG3Z6,,11.99,0,Inactive,AMAZON_EU,15/09/2025 13:07:20 BST
UK,DELETE,not in master list,AM_20_30,B0FR4ZT5XT,,50.49,0,Inactive,AMAZON_EU,15/09/2025 13:08:42 BST
UK,DELETE,not in master list,AM_3_15,B0FR5BK9R4,,8.99,0,Inactive,AMAZON_EU,15/09/2025 13:08:42 BST
UK,DELETE,not in master list,AR_20_30,B0FR5DCH33,,53.49,0,Inactive,AMAZON_EU,15/09/2025 13:07:30 BST
UK,DELETE,not in master list,AR_3_15,B0FR554SXN,,11.99,0,Inactive,AMAZON_EU,15/09/2025 13:07:30 BST
UK,DELETE,not in master list,AS-20_3_15,B0FR9FZ4RF,,11.99,0,Inactive,AMAZON_EU,16/09/2025 11:48:31 BST
UK,DELETE,not in master list,AS-20_5_30,B0FR9BQNSV,,18.49,0,Inactive,AMAZON_EU,16/09/2025 11:48:31 BST
UK,DELETE,not in master list,AT_20_30,B0FR8XBSBP,,13.49,0,Inactive,AMAZON_EU,16/09/2025 11:51:43 BST
UK,DELETE,not in master list,AT_3_15,B0FR9QSMSP,,2.99,0,Inactive,AMAZON_EU,16/09/2025 11:51:43 BST
UK,DELETE,not in master list,AT_5_30,B0FR8XCH78,,4.49,0,Inactive,AMAZON_EU,16/09/2025 11:51:43 BST
UK,DELETE,not in master list,AU_20_30,B0FR9G1ZQJ,,12.99,0,Inactive,AMAZON_EU,16/09/2025 11:50:20 BST
UK,DELETE,not in master list,AU_3_15,B0FR9SKY4D,,5.49,50,Active,AMAZON_EU,16/09/2025 11:50:20 BST
UK,DELETE,not in master list,AU_5_30,B0FR9JRB62,,6.99,49,Active,AMAZON_EU,16/09/2025 11:50:20 BST
UK,DELETE,not in master list,AX_20_30,B0FR39Q1KJ,,26.49,0,Inactive,AMAZON_EU,14/09/2025 12:41:21 BST
UK,DELETE,not in master list,AX_3_15,B0FR3CCSMB,,4.49,0,Inactive,AMAZON_EU,14/09/2025 12:41:21 BST
UK,DELETE,not in master list,AX_5_30,B0FR3G6JWB,,7.49,0,Inactive,AMAZON_EU,14/09/2025 12:41:21 BST
UK,DELETE,not in master list,AZ_3_15,B0FR9BTC98,,23.49,0,Inactive,AMAZON_EU,16/09/2025 11:51:53 BST
UK,DELETE,not in master list,BA_3_15,B0FR9G8ZVK,,6.99,0,Inactive,AMAZON_EU,16/09/2025 12:12:03 BST
UK,DELETE,not in master list,BD_20_30,B0FR8FJ3HJ,,42.49,0,Inactive,AMAZON_EU,16/09/2025 11:57:36 BST
UK,DELETE,not in master list,BD_3_15,B0FR9L7SG3,,9.49,0,Inactive,AMAZON_EU,16/09/2025 11:57:36 BST
UK,DELETE,not in master list,BD_5_30,B0FR9BQFCM,,14.49,0,Inactive,AMAZON_EU,16/09/2025 11:57:36 BST
UK,DELETE,not in master list,BE_20_30,B0FR9BVRCH,,15.99,30,Active,AMAZON_EU,16/09/2025 12:11:43 BST
UK,DELETE,not in master list,BE_3_15,B0FR9G432K,,5.99,60,Active,AMAZON_EU,16/09/2025 12:11:43 BST
UK,DELETE,not in master list,BE_5_30,B0FR9SXCW6,,6.99,60,Active,AMAZON_EU,16/09/2025 12:11:43 BST
UK,DELETE,not in master list,BF_3_15,B0FR9HWFSK,,23.49,0,Inactive,AMAZON_EU,16/09/2025 12:13:08 BST
UK,DELETE,not in master list,BF_5_30,B0FR9BWKSY,,34.49,0,Inactive,AMAZON_EU,16/09/2025 12:13:08 BST
UK,DELETE,not in master list,BH_3_15,B0FR9K64KF,,8.49,0,Inactive,AMAZON_EU,16/09/2025 11:57:25 BST
UK,DELETE,not in master list,BN_20_30,B0FR9F971C,,66.49,0,Inactive,AMAZON_EU,16/09/2025 12:12:34 BST
UK,DELETE,not in master list,BN_3_15,B0FR9KTJND,,14.99,0,Inactive,AMAZON_EU,16/09/2025 12:12:34 BST
UK,DELETE,not in master list,BO_20_30,B0FR9RH588,,131.99,0,Inactive,AMAZON_EU,16/09/2025 12:11:53 BST
UK,DELETE,not in master list,BO_3_15,B0FR8FKPKH,,22.49,0,Inactive,AMAZON_EU,16/09/2025 12:11:53 BST
UK,DELETE,not in master list,BR_20_30,B0FR9KLZCR,,33.49,0,Inactive,AMAZON_EU,16/09/2025 12:12:24 BST
UK,DELETE,not in master list,BR_3_15,B0FR9G5LKV,,7.49,0,Inactive,AMAZON_EU,16/09/2025 12:12:24 BST
UK,DELETE,not in master list,BW_3_15,B0FR9G7N2Q,,23.49,0,Inactive,AMAZON_EU,16/09/2025 12:12:13 BST
UK,DELETE,not in master list,BY_3_15,B0FR9G3Z82,,8.49,0,Inactive,AMAZON_EU,16/09/2025 11:57:47 BST
UK,DELETE,not in master list,BY_5_30,B0FR8FFT4D,,13.99,0,Inactive,AMAZON_EU,16/09/2025 11:57:47 BST
UK,DELETE,not in master list,CA_20_30,B0FR9BY42D,,22.49,20,Active,AMAZON_EU,23/06/2026 21:13:41 BST
UK,DELETE,not in master list,CA_3_15,B0FR9RZLF3,,6.99,52,Active,AMAZON_EU,23/06/2026 21:12:24 BST
UK,DELETE,not in master list,CA_5_30,B0FR9SYCBK,,9.99,48,Active,AMAZON_EU,23/06/2026 21:12:24 BST
UK,DELETE,not in master list,CF_3_15,B0FR9RK8FP,,23.49,0,Inactive,AMAZON_EU,16/09/2025 12:32:31 BST
UK,DELETE,not in master list,CF_5_30,B0FR9R3NMC,,34.49,0,Inactive,AMAZON_EU,16/09/2025 12:32:31 BST
UK,DELETE,not in master list,CH_20_30,B0FRB6VY7S,,13.99,0,Inactive,AMAZON_EU,16/09/2025 21:05:39 BST
UK,DELETE,not in master list,CH_3_15,B0FRB5LFVC,,4.99,0,Inactive,AMAZON_EU,16/09/2025 21:05:39 BST
UK,DELETE,not in master list,CH_5_30,B0FRB7G4VW,,6.99,0,Inactive,AMAZON_EU,16/09/2025 21:05:39 BST
UK,DELETE,not in master list,CI_3_15,B0FR9HW9DJ,,23.49,0,Inactive,AMAZON_EU,16/09/2025 12:34:06 BST
UK,DELETE,not in master list,CI_5_30,B0FR9V5LYJ,,34.49,0,Inactive,AMAZON_EU,16/09/2025 12:34:06 BST
UK,DELETE,not in master list,CL_3_15,B0FR9RY1RT,,18.99,0,Inactive,AMAZON_EU,16/09/2025 12:32:59 BST
UK,DELETE,not in master list,CM_3_15,B0FR9VJ1ZB,,23.49,0,Inactive,AMAZON_EU,16/09/2025 12:32:03 BST
UK,DELETE,not in master list,CN_20_30,B0FR9GD6X9,,15.99,0,Inactive,AMAZON_EU,16/09/2025 12:33:18 BST
UK,DELETE,not in master list,CN_3_15,B0FR9QZ578,,5.99,25,Active,AMAZON_EU,16/09/2025 12:33:18 BST
UK,DELETE,not in master list,CN_5_30,B0FR9HX7XH,,7.99,24,Active,AMAZON_EU,16/09/2025 12:33:18 BST
UK,DELETE,not in master list,CO_3_15,B0FR9RL8W5,,9.49,0,Inactive,AMAZON_EU,16/09/2025 12:33:28 BST
UK,DELETE,not in master list,CR_3_15,B0FR9LNRMN,,14.99,0,Inactive,AMAZON_EU,16/09/2025 12:33:56 BST
UK,DELETE,not in master list,CY_3_15,B0FR8XJWWG,,2.99,0,Inactive,AMAZON_EU,16/09/2025 12:34:26 BST
UK,DELETE,not in master list,CY_5_30,B0FR8XHWZV,,4.49,0,Inactive,AMAZON_EU,16/09/2025 12:34:26 BST
UK,DELETE,not in master list,CZ_20_30,B0FR9SVN9H,,13.49,0,Inactive,AMAZON_EU,16/09/2025 12:34:35 BST
UK,DELETE,not in master list,CZ_3_15,B0FR9SB2Q3,,2.99,0,Inactive,AMAZON_EU,16/09/2025 12:34:35 BST
UK,DELETE,not in master list,CZ_5_30,B0FR9BY2LF,,4.49,0,Inactive,AMAZON_EU,16/09/2025 12:34:35 BST
UK,DELETE,not in master list,DK_20_30,B0FR9QPF45,,12.99,0,Inactive,AMAZON_EU,16/09/2025 13:23:04 BST
UK,DELETE,not in master list,DK_3_15,B0FR9GSNP4,,2.99,0,Inactive,AMAZON_EU,16/09/2025 13:23:04 BST
UK,DELETE,not in master list,DK_5_30,B0FR8XQYR4,,4.49,0,Inactive,AMAZON_EU,16/09/2025 13:23:04 BST
UK,DELETE,not in master list,DO_20_30,B0FR9C6DJF,,83.99,0,Inactive,AMAZON_EU,16/09/2025 13:23:14 BST
UK,DELETE,not in master list,DO_3_15,B0FR9GSKZF,,18.99,0,Inactive,AMAZON_EU,16/09/2025 13:23:14 BST
UK,DELETE,not in master list,DO_5_30,B0FR9GQKCM,,27.99,0,Inactive,AMAZON_EU,16/09/2025 13:23:14 BST
UK,DELETE,not in master list,EC_3_15,B0FR9RM6MP,,14.99,0,Inactive,AMAZON_EU,16/09/2025 13:23:23 BST
UK,DELETE,not in master list,EE_20_30,B0FR9L527N,,14.49,0,Inactive,AMAZON_EU,16/09/2025 13:23:52 BST
UK,DELETE,not in master list,EE_3_15,B0FR9GST1S,,2.99,0,Inactive,AMAZON_EU,16/09/2025 13:23:52 BST
UK,DELETE,not in master list,EE_5_30,B0FR9GQYKB,,4.49,0,Inactive,AMAZON_EU,16/09/2025 13:23:52 BST
UK,DELETE,not in master list,EG_20_30,B0FR9GQBGL,,29.99,5,Active,AMAZON_EU,16/09/2025 13:23:33 BST
UK,DELETE,not in master list,EG_3_15,B0FR9C784N,,8.99,18,Active,AMAZON_EU,16/09/2025 13:23:33 BST
UK,DELETE,not in master list,EG_5_30,B0FR9LR5KJ,,11.49,0,Inactive,AMAZON_EU,16/09/2025 13:23:33 BST
UK,DELETE,not in master list,ES_20_30,B0FRCMPGPL,,14.99,42,Active,AMAZON_EU,16/09/2025 21:04:49 BST
UK,DELETE,not in master list,ES_3_15,B0FRCDHTZ7,,5.99,247,Active,AMAZON_EU,16/09/2025 21:04:49 BST
UK,DELETE,not in master list,ES_5_30,B0FRBQCLZN,,7.99,116,Active,AMAZON_EU,16/09/2025 21:04:49 BST
UK,DELETE,not in master list,EU-42_20_30,B0FR9TNPV3,,42.49,0,Inactive,AMAZON_EU,16/09/2025 13:24:11 BST
UK,DELETE,not in master list,EU-42_5_30,B0FR9RYSSS,,14.49,0,Inactive,AMAZON_EU,16/09/2025 13:24:11 BST
UK,DELETE,not in master list,FI_3_15,B0FR9GSND6,,2.49,0,Inactive,AMAZON_EU,16/09/2025 13:30:38 BST
UK,DELETE,not in master list,FI_5_30,B0FR9SB3BJ,,3.49,0,Inactive,AMAZON_EU,16/09/2025 13:30:38 BST
UK,DELETE,not in master list,FR_20_30,B0FR9GPMC5,,18.99,45,Active,AMAZON_EU,16/09/2025 13:30:48 BST
UK,DELETE,not in master list,FR_3_15,B0FR9C5ZB6,,6.99,248,Active,AMAZON_EU,16/09/2025 13:30:48 BST
UK,DELETE,not in master list,FR_5_30,B0FR9LMDW5,,8.99,191,Active,AMAZON_EU,16/09/2025 13:30:48 BST
UK,DELETE,not in master list,GA_3_15,B0FR9GPX9T,,14.99,0,Inactive,AMAZON_EU,16/09/2025 13:30:57 BST
UK,DELETE,not in master list,GB_20_30,B0FRDGCBTN,,12.49,0,Inactive,AMAZON_EU,16/09/2025 23:11:31 BST
UK,DELETE,not in master list,GB_3_15,B0FRCPD8TS,,3.99,0,Inactive,AMAZON_EU,16/09/2025 23:11:31 BST
UK,DELETE,not in master list,GB_5_30,B0FRDDRGJF,,4.99,0,Inactive,AMAZON_EU,16/09/2025 23:11:31 BST
UK,DELETE,not in master list,GE_20_30,B0FR9C73NK,,22.49,0,Inactive,AMAZON_EU,16/09/2025 13:31:06 BST
UK,DELETE,not in master list,GE_3_15,B0FR9KMX2N,,4.99,0,Inactive,AMAZON_EU,16/09/2025 13:31:06 BST
