sku,description,markets_missing,UK
AALAND-ISLANDS-20GB-30D,Aaland Islands 20GB 30Days,0,Inactive
AALAND-ISLANDS-3GB-15D,Aaland Islands 3GB 15Days,0,Inactive
AALAND-ISLANDS-5GB-30D,Aaland Islands 5GB 30Days,0,Inactive
AFRICA-5GB-30D,Africa 5GB 30Days,0,Inactive
ALBANIA-5GB-30D,Albania 5GB 30Days,0,Inactive
ALGERIA-20GB-30D,Algeria 20GB 30Days,0,Inactive
ALGERIA-3GB-15D,Algeria 3GB 15Days,0,Inactive
ALGERIA-5GB-30D,Algeria 5GB 30Days,0,Inactive
ANDORRA-20GB-30D,Andorra 20GB 30Days,0,Inactive
ANDORRA-3GB-15D,Andorra 3GB 15Days,0,Inactive
ANDORRA-5GB-30D,Andorra 5GB 30Days,0,Inactive
ANGOLA-3GB-15D,Angola 3GB 15Days,0,Inactive
ANGOLA-5GB-30D,Angola 5GB 30Days,0,Inactive
ANGUILLA-20GB-30D,Anguilla 20GB 30Days,0,Inactive
ANGUILLA-3GB-15D,Anguilla 3GB 15Days,0,Inactive
ANGUILLA-5GB-30D,Anguilla 5GB 30Days,0,Inactive
ANTIGUA-AND-BARBUDA-20GB-30D,Antigua and Barbuda 20GB 30Days,0,Inactive
ANTIGUA-AND-BARBUDA-3GB-15D,Antigua and Barbuda 3GB 15Days,0,Inactive
ANTIGUA-AND-BARBUDA-5GB-30D,Antigua and Barbuda 5GB 30Days,0,Inactive
ARGENTINA-20GB-30D,Argentina 20GB 30Days,0,Inactive
ARGENTINA-3GB-15D,Argentina 3GB 15Days,0,Inactive
ARMENIA-20GB-30D,Armenia 20GB 30Days,0,Inactive
ARMENIA-3GB-15D,Armenia 3GB 15Days,0,Inactive
ASIA-20-3GB-15D,Asia-20 3GB 15Days,0,Inactive
ASIA-20-5GB-30D,Asia-20 5GB 30 Days,0,Inactive
AUSTRALIA-20GB-30D,Australia 20GB 30Days,0,Inactive
AUSTRALIA-3GB-15D,Australia 3GB 15Days,0,Active
AUSTRALIA-5GB-30D,Australia 5GB 30Days,0,Active
AUSTRIA-20GB-30D,Austria 20GB 30Days,0,Inactive
AUSTRIA-3GB-15D,Austria 3GB 15Days,0,Inactive
AUSTRIA-5GB-30D,Austria 5GB 30Days,0,Inactive
AZERBAIJAN-3GB-15D,Azerbaijan 3GB 15Days,0,Inactive
BAHAMAS-20GB-30D,Bahamas 20GB 30Days,0,Inactive
BAHAMAS-3GB-15D,Bahamas 3GB 15Days,0,Inactive
BAHAMAS-5GB-30D,Bahamas 5GB 30Days,0,Inactive
BAHRAIN-3GB-15D,Bahrain 3GB 15Days,0,Inactive
BANGLADESH-20GB-30D,Bangladesh 20GB 30Days,0,Inactive
BANGLADESH-3GB-15D,Bangladesh 3GB 15Days,0,Inactive
BANGLADESH-5GB-30D,Bangladesh 5GB 30Days,0,Inactive
BARBADOS-20GB-30D,Barbados 20GB 30Days,0,Inactive
BARBADOS-3GB-15D,Barbados 3GB 15Days,0,Inactive
BARBADOS-5GB-30D,Barbados 5GB 30Days,0,Inactive
BELARUS-3GB-15D,Belarus 3GB 15Days,0,Inactive
