sku,description,markets_missing,UK,IE,FR,DE,IT,ES,NL,BE,SE,PL
AALAND-ISLANDS-20GB-30D,Aaland Islands 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
AALAND-ISLANDS-3GB-15D,Aaland Islands 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
AALAND-ISLANDS-5GB-30D,Aaland Islands 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
AFRICA-5GB-30D,Africa 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
ALBANIA-5GB-30D,Albania 5GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
ALGERIA-20GB-30D,Algeria 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
ALGERIA-3GB-15D,Algeria 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ALGERIA-5GB-30D,Algeria 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
ANDORRA-20GB-30D,Andorra 20GB 30Days,0,Inactive,Active,Active,Active,Inactive,Active,Active,Active,Active,Active
ANDORRA-3GB-15D,Andorra 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
ANDORRA-5GB-30D,Andorra 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
ANGOLA-3GB-15D,Angola 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
ANGOLA-5GB-30D,Angola 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
ANGUILLA-20GB-30D,Anguilla 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
ANGUILLA-3GB-15D,Anguilla 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
ANGUILLA-5GB-30D,Anguilla 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
ANTIGUA-AND-BARBUDA-20GB-30D,Antigua and Barbuda 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
ANTIGUA-AND-BARBUDA-3GB-15D,Antigua and Barbuda 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ANTIGUA-AND-BARBUDA-5GB-30D,Antigua and Barbuda 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ARGENTINA-20GB-30D,Argentina 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
ARGENTINA-3GB-15D,Argentina 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
ARMENIA-20GB-30D,Armenia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ARMENIA-3GB-15D,Armenia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ASIA-20-3GB-15D,Asia-20 3GB 15Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
ASIA-20-5GB-30D,Asia-20 5GB 30 Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
AUSTRALIA-20GB-30D,Australia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
AUSTRALIA-3GB-15D,Australia 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
AUSTRALIA-5GB-30D,Australia 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
AUSTRIA-20GB-30D,Austria 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
AUSTRIA-3GB-15D,Austria 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
AUSTRIA-5GB-30D,Austria 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
AZERBAIJAN-3GB-15D,Azerbaijan 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
BAHAMAS-20GB-30D,Bahamas 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
BAHAMAS-3GB-15D,Bahamas 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
BAHAMAS-5GB-30D,Bahamas 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
BAHRAIN-3GB-15D,Bahrain 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
BANGLADESH-20GB-30D,Bangladesh 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
BANGLADESH-3GB-15D,Bangladesh 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
BANGLADESH-5GB-30D,Bangladesh 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
BARBADOS-20GB-30D,Barbados 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
BARBADOS-3GB-15D,Barbados 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
BARBADOS-5GB-30D,Barbados 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Inactive,Active,Active,Active
BELARUS-3GB-15D,Belarus 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
BELARUS-5GB-30D,Belarus 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
BELGIUM-20GB-30D,Belgium 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
BELGIUM-3GB-15D,Belgium 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
BELGIUM-5GB-30D,Belgium 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
BELIZE-20GB-30D,Belize 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
BELIZE-3GB-15D,Belize 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
BELIZE-5GB-30D,Belize 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
BENIN-20GB-30D,Benin 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
BENIN-3GB-15D,Benin 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
BENIN-5GB-30D,Benin 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
BERMUDA-20GB-30D,Bermuda 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
BERMUDA-3GB-15D,Bermuda 3GB 15Days,0,Inactive,Active,Active,Active,Inactive,Inactive,Active,Active,Inactive,Active
BERMUDA-5GB-30D,Bermuda 5GB 30Days,0,Inactive,Active,Active,Active,Inactive,Inactive,Active,Active,Inactive,Active
BHUTAN-20GB-30D,Bhutan 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
