when,market,sku,asin,method,result,issues
2026-08-18T06:47:37+00:00,IE,ZAMBIA-3GB-15D,B0FRC2NSM2,fbm0,DEACTIVATED,
2026-08-18T06:47:39+00:00,IE,MAURITIUS-3GB-15D,B0H2FYRLRC,fbm0,DEACTIVATED,
2026-08-18T06:47:40+00:00,IE,HAJJ-LUX-10GB-30D,B0H3L75HDS,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:41+00:00,IE,BULGARIA-3GB-15D,B0H6MCT4Y5,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:42+00:00,IE,PERU-3GB-15D,B0H6M5WW3B,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:44+00:00,IE,PERU-20GB-30D,B0H6M8BLBD,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:45+00:00,IE,ALGERIA-3GB-15D,B0H6M9R3WH,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:46+00:00,IE,ALGERIA-5GB-30D,B0H6MDYKG8,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:47+00:00,IE,ALGERIA-20GB-30D,B0H6M5TDMD,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:49+00:00,IE,ANDORRA-3GB-15D,B0H6MBPRYN,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:50+00:00,IE,ANDORRA-5GB-30D,B0H6M5P65S,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:51+00:00,IE,ANDORRA-20GB-30D,B0H6MJ97WC,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:52+00:00,IE,ANGOLA-3GB-15D,B0H6M5RWZH,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:53+00:00,IE,ANGOLA-5GB-30D,B0H6MKZSB4,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:55+00:00,IE,ANGUILLA-3GB-15D,B0H6M7X7QY,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:56+00:00,IE,ANGUILLA-5GB-30D,B0H6MFJ63H,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:57+00:00,IE,ANGUILLA-20GB-30D,B0H6MHMZY8,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:47:58+00:00,IE,ANTIGUA-AND-BARBUDA-3GB-15D,B0H6MBBFLQ,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:00+00:00,IE,ANTIGUA-AND-BARBUDA-5GB-30D,B0H6MCR5F9,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:01+00:00,IE,ANTIGUA-AND-BARBUDA-20GB-30D,B0H6M2MQJB,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:02+00:00,IE,BAHAMAS-3GB-15D,B0H6MB828R,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:04+00:00,IE,BAHAMAS-5GB-30D,B0H6MFGH8P,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:05+00:00,IE,BAHAMAS-20GB-30D,B0H6MCPR9P,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:06+00:00,IE,BARBADOS-3GB-15D,B0H6MCD72X,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:08+00:00,IE,BARBADOS-5GB-30D,B0H6MG6VYJ,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:09+00:00,IE,BARBADOS-20GB-30D,B0H6MJ921X,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:10+00:00,IE,BELIZE-3GB-15D,B0H6MFPNTX,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:11+00:00,IE,BELIZE-5GB-30D,B0H6MF1H4V,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:13+00:00,IE,BELIZE-20GB-30D,B0H6MBSQM8,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:14+00:00,IE,BENIN-3GB-15D,B0H6M9YHDR,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:15+00:00,IE,BENIN-5GB-30D,B0H6MHRNBH,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:17+00:00,IE,BENIN-20GB-30D,B0H6M7VGSZ,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:18+00:00,IE,BERMUDA-3GB-15D,B0H6MDMTGH,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:19+00:00,IE,BERMUDA-5GB-30D,B0H6MFM5X4,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:20+00:00,IE,BERMUDA-20GB-30D,B0H6MCGQ77,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:22+00:00,IE,BHUTAN-3GB-15D,B0H6MJB588,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:23+00:00,IE,BHUTAN-5GB-30D,B0H6M9C23Q,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:24+00:00,IE,BHUTAN-20GB-30D,B0H6M5WDSH,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:25+00:00,IE,CAPE-VERDE-3GB-15D,B0H6M9R16H,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:27+00:00,IE,CAPE-VERDE-5GB-30D,B0H6MFG453,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:28+00:00,IE,CAPE-VERDE-20GB-30D,B0H6M9VSPG,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:29+00:00,IE,CAYMAN-ISLANDS-3GB-15D,B0H6MLHBD7,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:31+00:00,IE,CAYMAN-ISLANDS-5GB-30D,B0H6M55MKK,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:32+00:00,IE,CAYMAN-ISLANDS-20GB-30D,B0H6MGXYNS,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:33+00:00,IE,CURACAO-3GB-15D,B0H6M81JPM,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:34+00:00,IE,CURACAO-5GB-30D,B0H6MGZLBC,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:36+00:00,IE,CURACAO-20GB-30D,B0H6MF51WH,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:37+00:00,IE,DEMOCRATIC-REPUBLIC-OF-THE-CONGO-3GB-15D,B0H6LZL22Y,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:38+00:00,IE,DEMOCRATIC-REPUBLIC-OF-THE-CONGO-5GB-30D,B0H6M6L8Z8,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:40+00:00,IE,DRC-20GB-30D,B0H6MZWFM7,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:41+00:00,IE,DOMINICA-3GB-15D,B0H6M9H54M,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:42+00:00,IE,DOMINICA-5GB-30D,B0H6M5HR32,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:43+00:00,IE,DOMINICA-20GB-30D,B0H6MK8XTJ,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:45+00:00,IE,FAROE-ISLANDS-3GB-15D,B0H6ML935Q,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:46+00:00,IE,FAROE-ISLANDS-5GB-30D,B0H6MF2TVH,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:47+00:00,IE,FAROE-ISLANDS-20GB-30D,B0H6MB82ZV,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:48+00:00,IE,FIJI-3GB-15D,B0H6MFLWYD,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:50+00:00,IE,FIJI-5GB-30D,B0H6MJ7GS6,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:51+00:00,IE,FIJI-20GB-30D,B0H6MGBL3N,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:52+00:00,IE,FRENCH-GUIANA-3GB-15D,B0H6MFD6Z3,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:54+00:00,IE,FRENCH-GUIANA-5GB-30D,B0H6MGC352,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:55+00:00,IE,FRENCH-GUIANA-20GB-30D,B0H6MDNXJJ,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:56+00:00,IE,FRENCH-POLYNESIA-3GB-15D,B0H6MF6GHP,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:57+00:00,IE,FRENCH-POLYNESIA-5GB-30D,B0H6MD2GXY,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:48:59+00:00,IE,FRENCH-POLYNESIA-20GB-30D,B0H6M59GH9,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:00+00:00,IE,GHANA-3GB-15D,B0H6M7CH6H,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:01+00:00,IE,GHANA-5GB-30D,B0H6MD48NZ,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:03+00:00,IE,GHANA-20GB-30D,B0H6M9CG3G,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:04+00:00,IE,GREENLAND-3GB-15D,B0H6MLNBK2,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:05+00:00,IE,GREENLAND-5GB-30D,B0H6MFMLK9,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:06+00:00,IE,GREENLAND-20GB-30D,B0H6MBT3TW,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:07+00:00,IE,GRENADA-3GB-15D,B0H6M8K37V,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:09+00:00,IE,GRENADA-5GB-30D,B0H6MLJR6Z,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:10+00:00,IE,GRENADA-20GB-30D,B0H6MGRF37,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:11+00:00,IE,GUINEA-3GB-15D,B0H6MGZTF1,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:12+00:00,IE,GUINEA-5GB-30D,B0H6MFTVX6,fbm0,ALREADY_OFF,offer already on DEFAULT
2026-08-18T06:49:14+00:00,IE,GUINEA-20GB-30D,B0H6M7VHYP,fbm0,ALREADY_OFF,offer already on DEFAULT
