sku,market,asin,before,after,status,issues
AALAND-ISLANDS-20GB-30D,UK,B0FR39Q1KJ,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AALAND-ISLANDS-3GB-15D,UK,B0FR3CCSMB,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AALAND-ISLANDS-5GB-30D,UK,B0FR3G6JWB,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AE_20_30,UK,B0FRB7TFJR,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AE_3_15,UK,B0FRBBYBGH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AE_5_30,UK,B0FRB89XHX,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AF-29_5_30,UK,B0FR3GK9Z7,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AFRICA-5GB-30D,UK,B0FR3GK9Z7,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ALBANIA-5GB-30D,UK,B0FR4ZG3Z6,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ALGERIA-20GB-30D,UK,B0H6M5TDMD,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ALGERIA-3GB-15D,UK,B0H6M9R3WH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ALGERIA-5GB-30D,UK,B0H6MDYKG8,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AL_5_30,UK,B0FR4ZG3Z6,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AM_20_30,UK,B0FR4ZT5XT,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AM_3_15,UK,B0FR5BK9R4,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANDORRA-20GB-30D,UK,B0H6MJ97WC,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANDORRA-3GB-15D,UK,B0H6MBPRYN,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANDORRA-5GB-30D,UK,B0H6M5P65S,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANGOLA-3GB-15D,UK,B0H6M5RWZH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANGOLA-5GB-30D,UK,B0H6MKZSB4,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANGUILLA-20GB-30D,UK,B0H6MHMZY8,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANGUILLA-3GB-15D,UK,B0H6M7X7QY,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANGUILLA-5GB-30D,UK,B0H6MFJ63H,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANTIGUA-AND-BARBUDA-20GB-30D,UK,B0H6M2MQJB,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANTIGUA-AND-BARBUDA-3GB-15D,UK,B0H6MBBFLQ,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ANTIGUA-AND-BARBUDA-5GB-30D,UK,B0H6MCR5F9,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ARGENTINA-20GB-30D,UK,B0FR5DCH33,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ARGENTINA-3GB-15D,UK,B0FR554SXN,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ARMENIA-20GB-30D,UK,B0FR4ZT5XT,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ARMENIA-3GB-15D,UK,B0FR5BK9R4,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AR_20_30,UK,B0FR5DCH33,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AR_3_15,UK,B0FR554SXN,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AS-20_3_15,UK,B0FR9FZ4RF,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AS-20_5_30,UK,B0FR9BQNSV,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ASIA-20-3GB-15D,UK,B0FR9FZ4RF,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
ASIA-20-5GB-30D,UK,B0FR9BQNSV,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AT_20_30,UK,B0FR8XBSBP,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AT_3_15,UK,B0FR9QSMSP,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AT_5_30,UK,B0FR8XCH78,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AUSTRALIA-20GB-30D,UK,B0FR9G1ZQJ,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AUSTRALIA-3GB-15D,UK,B0FR9SKY4D,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AUSTRALIA-5GB-30D,UK,B0FR9JRB62,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AUSTRIA-20GB-30D,UK,B0FR8XBSBP,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AUSTRIA-3GB-15D,UK,B0FR9QSMSP,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AUSTRIA-5GB-30D,UK,B0FR8XCH78,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AU_20_30,UK,B0FR9G1ZQJ,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AU_3_15,UK,B0FR9SKY4D,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AU_5_30,UK,B0FR9JRB62,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AX_20_30,UK,B0FR39Q1KJ,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AX_3_15,UK,B0FR3CCSMB,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AX_5_30,UK,B0FR3G6JWB,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AZERBAIJAN-3GB-15D,UK,B0FR9BTC98,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
AZ_3_15,UK,B0FR9BTC98,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BAHAMAS-20GB-30D,UK,B0H6MCPR9P,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BAHAMAS-3GB-15D,UK,B0H6MB828R,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BAHAMAS-5GB-30D,UK,B0H6MFGH8P,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
