sku,market,asin,before,after,status,issues
AALAND-ISLANDS-20GB-30D,UK,B0FR39Q1KJ,DEFAULT,AMAZON_EU,CONVERTED,
AALAND-ISLANDS-3GB-15D,UK,B0FR3CCSMB,DEFAULT,AMAZON_EU,CONVERTED,
AALAND-ISLANDS-5GB-30D,UK,B0FR3G6JWB,DEFAULT,AMAZON_EU,CONVERTED,
AE_20_30,UK,B0FRB7TFJR,DEFAULT,AMAZON_EU,CONVERTED,
AE_3_15,UK,B0FRBBYBGH,DEFAULT,AMAZON_EU,CONVERTED,
AE_5_30,UK,B0FRB89XHX,DEFAULT,AMAZON_EU,CONVERTED,
AF-29_5_30,UK,B0FR3GK9Z7,DEFAULT,AMAZON_EU,CONVERTED,
AFRICA-5GB-30D,UK,B0FR3GK9Z7,DEFAULT,AMAZON_EU,CONVERTED,
ALBANIA-5GB-30D,UK,B0FR4ZG3Z6,DEFAULT,AMAZON_EU,CONVERTED,
ALGERIA-20GB-30D,UK,B0H6M5TDMD,DEFAULT,AMAZON_EU,CONVERTED,
ALGERIA-3GB-15D,UK,B0H6M9R3WH,DEFAULT,AMAZON_EU,CONVERTED,
ALGERIA-5GB-30D,UK,B0H6MDYKG8,DEFAULT,AMAZON_EU,CONVERTED,
AL_5_30,UK,B0FR4ZG3Z6,DEFAULT,AMAZON_EU,CONVERTED,
AM_20_30,UK,B0FR4ZT5XT,DEFAULT,AMAZON_EU,CONVERTED,
AM_3_15,UK,B0FR5BK9R4,DEFAULT,AMAZON_EU,CONVERTED,
ANDORRA-20GB-30D,UK,B0H6MJ97WC,DEFAULT,AMAZON_EU,CONVERTED,
ANDORRA-3GB-15D,UK,B0H6MBPRYN,DEFAULT,AMAZON_EU,CONVERTED,
ANDORRA-5GB-30D,UK,B0H6M5P65S,DEFAULT,AMAZON_EU,CONVERTED,
ANGOLA-3GB-15D,UK,B0H6M5RWZH,DEFAULT,AMAZON_EU,CONVERTED,
ANGOLA-5GB-30D,UK,B0H6MKZSB4,DEFAULT,AMAZON_EU,CONVERTED,
ANGUILLA-20GB-30D,UK,B0H6MHMZY8,DEFAULT,AMAZON_EU,CONVERTED,
ANGUILLA-3GB-15D,UK,B0H6M7X7QY,AMAZON_EU,AMAZON_EU,ALREADY_FBA,
ANGUILLA-5GB-30D,UK,B0H6MFJ63H,DEFAULT,AMAZON_EU,CONVERTED,
ANTIGUA-AND-BARBUDA-20GB-30D,UK,B0H6M2MQJB,DEFAULT,AMAZON_EU,CONVERTED,
ANTIGUA-AND-BARBUDA-3GB-15D,UK,B0H6MBBFLQ,DEFAULT,AMAZON_EU,CONVERTED,
ANTIGUA-AND-BARBUDA-5GB-30D,UK,B0H6MCR5F9,DEFAULT,AMAZON_EU,CONVERTED,
ARGENTINA-20GB-30D,UK,B0FR5DCH33,DEFAULT,AMAZON_EU,CONVERTED,
ARGENTINA-3GB-15D,UK,B0FR554SXN,DEFAULT,AMAZON_EU,CONVERTED,
ARMENIA-20GB-30D,UK,B0FR4ZT5XT,DEFAULT,AMAZON_EU,CONVERTED,
ARMENIA-3GB-15D,UK,B0FR5BK9R4,DEFAULT,AMAZON_EU,CONVERTED,
AR_20_30,UK,B0FR5DCH33,DEFAULT,AMAZON_EU,CONVERTED,
AR_3_15,UK,B0FR554SXN,DEFAULT,AMAZON_EU,CONVERTED,
AS-20_3_15,UK,B0FR9FZ4RF,DEFAULT,AMAZON_EU,CONVERTED,
AS-20_5_30,UK,B0FR9BQNSV,DEFAULT,AMAZON_EU,CONVERTED,
ASIA-20-3GB-15D,UK,B0FR9FZ4RF,DEFAULT,AMAZON_EU,CONVERTED,
ASIA-20-5GB-30D,UK,B0FR9BQNSV,DEFAULT,AMAZON_EU,CONVERTED,
AT_20_30,UK,B0FR8XBSBP,DEFAULT,AMAZON_EU,CONVERTED,
AT_3_15,UK,B0FR9QSMSP,DEFAULT,AMAZON_EU,CONVERTED,
AT_5_30,UK,B0FR8XCH78,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRALIA-20GB-30D,UK,B0FR9G1ZQJ,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRALIA-3GB-15D,UK,B0FR9SKY4D,AMAZON_EU,AMAZON_EU,ALREADY_FBA,
AUSTRALIA-5GB-30D,UK,B0FR9JRB62,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRIA-20GB-30D,UK,B0FR8XBSBP,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRIA-3GB-15D,UK,B0FR9QSMSP,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRIA-5GB-30D,UK,B0FR8XCH78,DEFAULT,AMAZON_EU,CONVERTED,
