sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote	afn-fc-transfer-quantity	afn-onhand-buyable-quantity	store
87-66M0-VYRJ	B0H2FTMBBQ	B0H2FTMBBQ	Zambia eSIM 3GB 15Days | Pay As You Go Data SIM | Easy Setup | Travel SIM for Tourists & Business | 3G/4G/5G Speeds | Travel Guide Inlcuded	Unknown					0	0	0	0	0	29.99	0	0	0	0	0	0	0	0	0	0	
9S-G1U0-LSIV	B0H2FYRLRC	B0H2FYRLRC	Mauritius Travel Data SIM 3GB 15 Days + Travel Guide Included - Prepaid Tourist Mobile Internet	Unknown					0	0	0	0	0	29.99	0	0	0	0	0	0	0	0	0	0	
A7-877J-9DZD	B0H2MWQ647	B0H2MWQ647	Hajj Package Luxury - 10GB - 30Days eSIM + Hajj Luxury Travel Guide + extra exclusive Saudi Arabian travel guides	Unknown					0	0	0	0	0	29.99	0	0	0	0	0	0	0	0	0	0	
AALAND-ISLANDS-20GB-30D	B0FR39Q1KJ	B0FR39Q1KJ	Aaland Islands eSIM 20GB 30Days	New	28.99	No		Yes	0	0	0	0	0	96.03	0	0	0	0	0	0	0	0	0	0	
AALAND-ISLANDS-3GB-15D	B0FR3CCSMB	B0FR3CCSMB	Aaland Islands eSIM 3GB 15Days	New	7.99	No		Yes	0	0	0	0	0	96.03	0	0	0	0	0	0	0	0	0	0	
AALAND-ISLANDS-5GB-30D	B0FR3G6JWB	B0FR3G6JWB	Aaland Islands eSIM 5GB 30Days	New	11.99	No		Yes	0	0	0	0	0	96.03	0	0	0	0	0	0	0	0	0	0	
AE_20_30	B0FRB7TFJR	B0FRB7TFJR	United Arab Emirates eSIM 20GB 30 Days | Pay As You Go Data SIM | Easy Setup | Travel SIM for Tourists & Business | 3G/4G Speeds | Free Travel Guide Inlcuded	New	35.99	No		Yes	0	0	0	0	0	96.03	0	0	0	0	0	0	0	0	0	0	
AE_3_15	B0FRBBYBGH	B0FRBBYBGH	United Arab Emirates eSIM 3GB 15 Days | Pay As You Go Data SIM | Easy Setup | Travel SIM for Tourists & Business | 3G/4G Speeds | Free Travel Guide Inlcuded	New	8.99	No		Yes	0	0	0	0	0	96.03	0	0	0	0	0	0	0	0	0	0	
AE_5_30	B0FRB89XHX	B0FRB89XHX	United Arab Emirates eSIM 5GB 30 Days | Pay As You Go Data SIM | Easy Setup | Travel SIM for Tourists & Business | 3G/4G Speeds | Free Travel Guide Inlcuded	New	11.99	No		Yes	0	0	0	0	0	96.03	0	0	0	0	0	0	0	0	0	0	
AF-29_5_30	B0FR3GK9Z7	B0FR3GK9Z7	Africa (25+ areas) eSIM 5GB 30 Days | Pay As You Go Data SIM | Easy Setup | Travel SIM for Tourists & Business | 3G/4G Speeds	New	27.99	No		Yes	0	0	0	0	0	96.03	0	0	0	0	0	0	0	0	0	0	
