item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
Côte D'Ivoire eSIM 5GB 30Days	Cote d'Ivoire eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUXMD0R	COTE-D-IVOIRE-5GB-30D	31.99		01/07/2026 01:34:12 MEST		y	4			11				B0FR9V5LYJ						8721438401796				AMAZON_EU	Migrated Template	Active		
Kroatien eSIM 20GB 30Days	Croatia eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HV9IOYM	CROATIA-20GB-30D	16.99		01/07/2026 01:43:57 MEST		y	4			11				B0FR9TYCSL						8721438401857				AMAZON_EU	Migrated Template	Active		
Kroatien eSIM 3GB 15Days	Croatia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUXNRH2	CROATIA-3GB-15D	7.99		01/07/2026 01:37:54 MEST		y	4			11				B0FR9GDKT1						8721438401819				AMAZON_EU	Migrated Template	Active		
Kroatien eSIM 5GB 30Days	Croatia eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HVB28Q0	CROATIA-5GB-30D	8.99		01/07/2026 01:41:33 MEST		y	4			11				B0FR9BVV58						8721438401833				AMAZON_EU	Migrated Template	Active		
Zypern eSIM 3GB 15Days	Cyprus eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV9Y69Q	CYPRUS-3GB-15D	7.99		01/07/2026 01:47:07 MEST		y	4			11				B0FR8XJWWG						8721438401888				AMAZON_EU	Migrated Template	Active		
Zypern eSIM 5GB 30Days	Cyprus eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HV0W0OY	CYPRUS-5GB-30D	8.99		01/07/2026 01:50:24 MEST		y	4			11				B0FR8XHWZV						8721438401901				AMAZON_EU	Migrated Template	Active		
Tschechische Republik eSIM 20GB 30Days	Czech Republic eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0701HV6LBG2	CZECH-REPUBLIC-20GB-30D	16.99		01/07/2026 02:00:29 MEST		y	4			11				B0FR9SVN9H						8721438401987				AMAZON_EU	Migrated Template	Active		
Tschechische Republik eSIM 3GB 15Days	Czech Republic eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV9179H	CZECH-REPUBLIC-3GB-15D	7.99		01/07/2026 01:53:54 MEST		y	4			11				B0FR9SB2Q3						8721438401949				AMAZON_EU	Migrated Template	Active		
Tschechische Republik eSIM 5GB 30Days	Czech Republic eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HV6987J	CZECH-REPUBLIC-5GB-30D	8.99		01/07/2026 01:57:23 MEST		y	4			11				B0FR9BY2LF						8721438401963				AMAZON_EU	Migrated Template	Active		
Dänemark eSIM 20GB 30Days	Denmark eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0701HVBEAM9	DENMARK-20GB-30D	14.99		01/07/2026 02:10:14 MEST		y	4			11				B0FR9QPF45						8721438402052				AMAZON_EU	Migrated Template	Active		
