item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	status
Aaland Islands eSIM 20GB 30Days	Aaland Islands eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUU8HQ4	AALAND-ISLANDS-20GB-30D	33.99		2026-06-30 22:43:48 CEST		y	4			11				B0FR39Q1KJ						8721438400041				AMAZON_EU	Active
Aaland Islands eSIM 3GB 15Days	Aaland Islands eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUSYYNW	AALAND-ISLANDS-3GB-15D	9.99		2026-06-30 22:37:15 CEST		y	4			11				B0FR3CCSMB						8721438400010				AMAZON_EU	Active
Aaland Islands eSIM 5GB 30Days	Aaland Islands eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUUGQQW	AALAND-ISLANDS-5GB-30D	13.99		2026-06-30 22:40:52 CEST		y	4			11				B0FR3G6JWB						8721438400034				AMAZON_EU	Active
Verenigde Arabische Emiraten eSIM 20 GB 30 dagen | Pay As You Go Data SIM | Eenvoudige installatie | Reis-simkaart voor toeristen en bedrijven | 3G/4G-snelheden		0325HS2VPA0	AE_20_30	41.78		2026-03-25 09:33:02 CET		y	1			11				B0FRB7TFJR						B0FRB7TFJR				AMAZON_EU	Active
United Arab Emirates eSIM 3GB 15Days		0325HRZ1RL9	AE_3_15	10.65		2026-03-25 09:20:07 CET		y	1			11				B0FRBBYBGH						B0FRBBYBGH				AMAZON_EU	Active
Africa eSIM 5GB 30Days	Africa eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUV4AEV	AFRICA-5GB-30D	29.99		2026-06-30 22:47:19 CEST		y	4			11				B0FR3GK9Z7						8721438400072				AMAZON_EU	Active
Algeria eSIM 20GB 30Days	Algeria eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTF4OMZ	ALGERIA-20GB-30D	26.99		2026-06-30 13:31:54 CEST		y	4			11				B0H6M5TDMD						8721438408443				AMAZON_EU	Active
Algeria eSIM 3GB 15Days	Algeria eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTOQ0BU	ALGERIA-3GB-15D	9.99		2026-06-30 13:23:57 CEST		y	4			11				B0H6M9R3WH						8721438408429				AMAZON_EU	Active
Algeria eSIM 5GB 30Days	Algeria eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTFRZ8A	ALGERIA-5GB-30D	11.99		2026-06-30 13:28:04 CEST		y	4			11				B0H6MDYKG8						8721438408436				AMAZON_EU	Active
Andorra eSIM 20GB 30Days	Andorra eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTIXMKI	ANDORRA-20GB-30D	44.99		2026-06-30 13:43:16 CEST		y	4			11				B0H6MJ97WC						8721438408474				AMAZON_EU	Active
Andorra eSIM 3GB 15Days	Andorra eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTFS8BO	ANDORRA-3GB-15D	15.99		2026-06-30 13:36:00 CEST		y	4			11				B0H6MBPRYN						8721438408450				AMAZON_EU	Active
Andorra eSIM 5GB 30Days	Andorra eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTL4ZYY	ANDORRA-5GB-30D	16.99		2026-06-30 13:39:46 CEST		y	4			11				B0H6M5P65S						8721438408467				AMAZON_EU	Active
Angola eSIM 3GB 15Days	Angola eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTCPK1E	ANGOLA-3GB-15D	35.99		2026-06-30 13:46:40 CEST		y	4			11				B0H6M5RWZH						8721438408481				AMAZON_EU	Active
Angola eSIM 5GB 30Days	Angola eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTWQUVQ	ANGOLA-5GB-30D	58.99		2026-06-30 14:29:37 CEST		y	4			11				B0H6MKZSB4						8721438408498				AMAZON_EU	Active
Anguilla eSIM 20GB 30Days	Anguilla eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTGLRC4	ANGUILLA-20GB-30D	87.99		2026-06-30 14:31:44 CEST		y	4			11				B0H6MHMZY8						8721438408535				AMAZON_EU	Active
Anguilla eSIM 3GB 15Days	Anguilla eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTPM8Q2	ANGUILLA-3GB-15D	24.99		2026-06-30 14:30:32 CEST		y	4			11				B0H6M7X7QY						8721438408511				AMAZON_EU	Active
