item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	status
Aaland Islands eSIM 20GB 30Days	Aaland Islands eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUUN3YP	AALAND-ISLANDS-20GB-30D	145.99		2026-06-30 22:45:00 CEST		y	4			11				B0FR39Q1KJ						8721438400041				AMAZON_EU	Active
Aaland Islands eSIM 3GB 15Days	Aaland Islands eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUUUIKS	AALAND-ISLANDS-3GB-15D	40.99		2026-06-30 22:38:37 CEST		y	4			11				B0FR3CCSMB						8721438400010				AMAZON_EU	Active
Aaland Islands eSIM 5GB 30Days	Aaland Islands eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUUD5EW	AALAND-ISLANDS-5GB-30D	60.99		2026-06-30 22:41:53 CEST		y	4			11				B0FR3G6JWB						8721438400034				AMAZON_EU	Active
Zjednoczone Emiraty Arabskie eSIM 20 GB 30 dni | Pay As You Go Data SIM | Łatwa konfiguracja | Podróżna karta SIM dla turystów i biznesu | Prędkości 3G/4G		0325HS1GZJQ	AE_20_30	177.13		2026-03-25 09:29:49 CET		y	1			11				B0FRB7TFJR						B0FRB7TFJR				AMAZON_EU	Active
Zjednoczone Emiraty Arabskie eSIM 3 GB 15 dni | Pay As You Go Data SIM | Łatwa konfiguracja | Podróżna karta SIM dla turystów i biznesu | Prędkości 3G/4G		0325HRYM46L	AE_3_15	39.8		2026-03-25 09:30:01 CET		y	1			11				B0FRBBYBGH						B0FRBBYBGH				AMAZON_EU	Active
Algeria eSIM 20GB 30Days	Algeria eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTCASEX	ALGERIA-20GB-30D	115.99		2026-06-30 13:33:06 CEST		y	4			11				B0H6M5TDMD						8721438408443				AMAZON_EU	Active
Algeria eSIM 5GB 30Days	Algeria eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTC8YTA	ALGERIA-5GB-30D	50.99		2026-06-30 13:29:16 CEST		y	4			11				B0H6MDYKG8						8721438408436				AMAZON_EU	Active
Andorra eSIM 20GB 30Days	Andorra eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTQE5CY	ANDORRA-20GB-30D	190.99		2026-06-30 13:44:27 CEST		y	4			11				B0H6MJ97WC						8721438408474				AMAZON_EU	Active
Andorra eSIM 5GB 30Days	Andorra eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTOVX46	ANDORRA-5GB-30D	70.99		2026-06-30 13:40:57 CEST		y	4			11				B0H6M5P65S						8721438408467				AMAZON_EU	Active
Angola eSIM 3GB 15Days	Angola eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTIWJVT	ANGOLA-3GB-15D	150.99		2026-06-30 13:48:02 CEST		y	4			11				B0H6M5RWZH						8721438408481				AMAZON_EU	Active
Angola eSIM 5GB 30Days	Angola eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTDD4MX	ANGOLA-5GB-30D	250.99		2026-06-30 14:29:45 CEST		y	4			11				B0H6MKZSB4						8721438408498				AMAZON_EU	Active
Anguilla eSIM 20GB 30Days	Anguilla eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTPICR9	ANGUILLA-20GB-30D	376.99		2026-06-30 14:31:53 CEST		y	4			11				B0H6MHMZY8						8721438408535				AMAZON_EU	Active
Anguilla eSIM 3GB 15Days	Anguilla eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTDFRQE	ANGUILLA-3GB-15D	105.99		2026-06-30 14:30:51 CEST		y	4			11				B0H6M7X7QY						8721438408511				AMAZON_EU	Active
Anguilla eSIM 5GB 30Days	Anguilla eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTSFKSV	ANGUILLA-5GB-30D	140.99		2026-06-30 14:31:22 CEST		y	4			11				B0H6MFJ63H						8721438408528				AMAZON_EU	Active
Antigua and Barbuda eSIM 20GB 30Days	Antigua and Barbuda eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTROLVJ	ANTIGUA-AND-BARBUDA-20GB-30D	426.99		2026-06-30 14:40:17 CEST		y	4			11				B0H6M2MQJB						8721438408566				AMAZON_EU	Active
Australia eSIM 20GB 30Days	Australia eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUWCE51	AUSTRALIA-20GB-30D	65.99		2026-06-30 23:25:17 CEST		y	4			11				B0FR9G1ZQJ						8721438400416				AMAZON_EU	Active
Australia eSIM 3GB 15Days	Australia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV26WXE	AUSTRALIA-3GB-15D	35.99		2026-06-30 23:17:56 CEST		y	4			11				B0FR9SKY4D						8721438400386				AMAZON_EU	Active
Australia eSIM 5GB 30Days	Australia eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUZF8EE	AUSTRALIA-5GB-30D	40.99		2026-06-30 23:21:37 CEST		y	4			11				B0FR9JRB62						8721438400393				AMAZON_EU	Active
Austria eSIM 20GB 30Days	Austria eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HV2DF9Q	AUSTRIA-20GB-30D	65.99		2026-06-30 23:35:03 CEST		y	4			11				B0FR8XBSBP						8721438400539				AMAZON_EU	Active
Austria eSIM 5GB 30Days	Austria eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUZ2CQ5	AUSTRIA-5GB-30D	40.99		2026-06-30 23:31:35 CEST		y	4			11				B0FR8XCH78						8721438400515				AMAZON_EU	Active
Australia eSIM 20GB 30Days		0327H0RLDKZ	AU_20_30	60.77		2026-03-27 11:08:21 CET		y	1			11				B0FR9G1ZQJ						B0FR9G1ZQJ				AMAZON_EU	Active
Australia eSIM 3GB 15Days		0327H0FKKUM	AU_3_15	21.43		2026-03-27 10:28:42 CET		y	1			11				B0FR9SKY4D						B0FR9SKY4D				AMAZON_EU	Active
