item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	status
Aaland Islands eSIM 3GB 15Days	Aaland Islands eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUTIQPQ	AALAND-ISLANDS-3GB-15D	102.99		2026-06-30 22:38:09 CEST		y	4			11				B0FR3CCSMB						8721438400010				AMAZON_EU	Active
Förenade Arabemiraten eSIM 20 GB 30 dagar | Betala när du går data SIM | Enkel installation | Rese-SIM för turister och företag | 3G/4G-hastigheter		0325HS0XVWF	AE_20_30	493.88		2026-03-25 09:21:19 CET		y	1			11				B0FRB7TFJR						B0FRB7TFJR				AMAZON_EU	Active
Förenade Arabemiraten eSIM 3 GB 15 dagar | Betala när du går data SIM | Enkel installation | Rese-SIM för turister och företag | 3G/4G-hastigheter		0325HSD1ELZ	AE_3_15	132.23		2026-03-25 10:12:51 CET		y	1			11				B0FRBBYBGH						B0FRBBYBGH				AMAZON_EU	Active
Algeria eSIM 20GB 30Days	Algeria eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTFSD1K	ALGERIA-20GB-30D	293.99		2026-06-30 13:32:42 CEST		y	4			11				B0H6M5TDMD						8721438408443				AMAZON_EU	Active
Algeria eSIM 3GB 15Days	Algeria eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTTHU4H	ALGERIA-3GB-15D	102.99		2026-06-30 13:24:52 CEST		y	4			11				B0H6M9R3WH						8721438408429				AMAZON_EU	Active
Algeria eSIM 5GB 30Days	Algeria eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTQLV4R	ALGERIA-5GB-30D	127.99		2026-06-30 13:28:52 CEST		y	4			11				B0H6MDYKG8						8721438408436				AMAZON_EU	Active
Andorra eSIM 20GB 30Days	Andorra eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTP1ZQ1	ANDORRA-20GB-30D	485.99		2026-06-30 13:44:03 CEST		y	4			11				B0H6MJ97WC						8721438408474				AMAZON_EU	Active
Anguilla eSIM 20GB 30Days	Anguilla eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTGHJ2C	ANGUILLA-20GB-30D	958.99		2026-06-30 14:31:53 CEST		y	4			11				B0H6MHMZY8						8721438408535				AMAZON_EU	Active
Anguilla eSIM 5GB 30Days	Anguilla eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTPRDXP	ANGUILLA-5GB-30D	357.99		2026-06-30 14:31:22 CEST		y	4			11				B0H6MFJ63H						8721438408528				AMAZON_EU	Active
Antigua and Barbuda eSIM 3GB 15Days	Antigua and Barbuda eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTLMAT7	ANTIGUA-AND-BARBUDA-3GB-15D	293.99		2026-06-30 14:33:14 CEST		y	4			11				B0H6MBBFLQ						8721438408542				AMAZON_EU	Active
Antigua and Barbuda eSIM 5GB 30Days	Antigua and Barbuda eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTPT0QI	ANTIGUA-AND-BARBUDA-5GB-30D	383.99		2026-06-30 14:36:36 CEST		y	4			11				B0H6MCR5F9						8721438408559				AMAZON_EU	Active
Armenia eSIM 20GB 30Days	Armenia eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUVYC7C	ARMENIA-20GB-30D	344.99		2026-06-30 23:05:34 CEST		y	4			11				B0FR4ZT5XT						8721438400188				AMAZON_EU	Active
Armenia eSIM 3GB 15Days	Armenia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUVESKD	ARMENIA-3GB-15D	102.99		2026-06-30 23:02:34 CEST		y	4			11				B0FR5BK9R4						8721438400164				AMAZON_EU	Active
Australia eSIM 3GB 15Days	Australia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUW1YIO	AUSTRALIA-3GB-15D	89.99		2026-06-30 23:17:29 CEST		y	4			11				B0FR9SKY4D						8721438400386				AMAZON_EU	Active
Australia eSIM 5GB 30Days	Australia eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HV5D2YK	AUSTRALIA-5GB-30D	102.99		2026-06-30 23:21:13 CEST		y	4			11				B0FR9JRB62						8721438400393				AMAZON_EU	Active
Austria eSIM 3GB 15Days	Austria eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUVJILN	AUSTRIA-3GB-15D	89.99		2026-06-30 23:28:21 CEST		y	4			11				B0FR9QSMSP						8721438400492				AMAZON_EU	Active
Austria eSIM 5GB 30Days	Austria eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HV2X361	AUSTRIA-5GB-30D	102.99		2026-06-30 23:31:11 CEST		y	4			11				B0FR8XCH78						8721438400515				AMAZON_EU	Active
Australia eSIM 3GB 15Days		0327H0LU50J	AU_3_15	85.28		2026-03-27 10:52:31 CET		y	1			11				B0FR9SKY4D						B0FR9SKY4D				AMAZON_EU	Active
Australia eSIM 5GB 30Days		0325HSDNFBA	AU_5_30	105.3		2026-03-25 10:21:07 CET		y	1			11				B0FR9JRB62						B0FR9JRB62				AMAZON_EU	Active
Bahrain eSIM 3GB 15Days	Bahrain eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV7Y5SG	BAHRAIN-3GB-15D	114.99		2026-06-30 23:42:21 CEST		y	4			11				B0FR9K64KF						8721438400591				AMAZON_EU	Active
Bangladesh eSIM 20GB 30Days	Bangladesh eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HV01D7B	BANGLADESH-20GB-30D	255.99		2026-06-30 23:52:10 CEST		y	4			11				B0FR8FJ3HJ						8721438400683				AMAZON_EU	Active
Bangladesh eSIM 3GB 15Days	Bangladesh eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV52N2H	BANGLADESH-3GB-15D	102.99		2026-06-30 23:46:13 CEST		y	4			11				B0FR9L7SG3						8721438400669				AMAZON_EU	Active
Bangladesh eSIM 5GB 30Days	Bangladesh eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HV2WK5R	BANGLADESH-5GB-30D	114.99		2026-06-30 23:49:45 CEST		y	4			11				B0FR9BQFCM						8721438400676				AMAZON_EU	Active
Barbados eSIM 3GB 15Days	Barbados eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTSLL7U	BARBADOS-3GB-15D	255.99		2026-06-30 14:53:59 CEST		y	4			11				B0H6MCD72X						8721438408603				AMAZON_EU	Active
Barbados eSIM 5GB 30Days	Barbados eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTM5AI7	BARBADOS-5GB-30D	345.99		2026-06-30 14:57:19 CEST		y	4			11				B0H6MG6VYJ						8721438408610				AMAZON_EU	Active
Belarus eSIM 3GB 15Days	Belarus eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUWOYHN	BELARUS-3GB-15D	102.99		2026-06-30 23:55:28 CEST		y	4			11				B0FR9G3Z82						8721438400706				AMAZON_EU	Active
Belarus eSIM 5GB 30Days	Belarus eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HV2IJ4K	BELARUS-5GB-30D	127.99		2026-06-30 23:58:17 CEST		y	4			11				B0FR8FFT4D						8721438400713				AMAZON_EU	Active
Belgium eSIM 20GB 30Days	Belgium eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HV39V45	BELGIUM-20GB-30D	165.99		2026-07-01 00:09:53 CEST		y	4			11				B0FR9BVRCH						8721438400775				AMAZON_EU	Active
